login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
callicoder,callicoder/apprtc-android,2016-12-20T12:39:15Z,1,1,Java,True,True,other
callicoder,callicoder/bagpiper,2015-10-15T15:13:03Z,4,4,Python,True,True,
callicoder,callicoder/callicoder,2020-08-14T04:23:46Z,6,6,,True,True,
callicoder,callicoder/clojure-koans,2018-10-31T06:25:03Z,2,2,Clojure,True,True,
callicoder,callicoder/csgo-price-indexing,2016-11-10T06:38:10Z,3,3,Python,True,True,
callicoder,callicoder/emitter,2018-10-16T11:10:01Z,3,3,Go,True,True,agpl-3.0
callicoder,callicoder/ethereum-development,2021-10-23T12:39:36Z,0,0,Solidity,True,True,
callicoder,callicoder/go-commons,2019-09-23T10:40:39Z,9,9,Go,True,True,
callicoder,callicoder/go-docker,2018-12-22T10:59:13Z,44,44,Go,True,True,
callicoder,callicoder/go-docker-compose,2018-12-23T11:25:28Z,114,114,Go,True,True,
callicoder,callicoder/go-docker-swarm,2018-12-23T11:53:38Z,13,13,Go,True,True,
callicoder,callicoder/go-kubernetes,2019-07-23T09:28:06Z,35,35,Go,True,True,
callicoder,callicoder/go-ready,2019-01-30T06:40:51Z,3,3,Go,True,True,
callicoder,callicoder/go-redis-kubernetes,2019-07-24T08:40:27Z,17,17,Go,True,True,
callicoder,callicoder/golang-tutorials,2018-01-19T14:22:33Z,396,396,Go,True,True,
callicoder,callicoder/java-collections-examples,2018-04-24T07:24:10Z,140,140,Java,True,True,
callicoder,callicoder/java-concurrency-examples,2017-05-09T09:01:16Z,282,282,Java,True,True,
callicoder,callicoder/java-read-write-csv-file,2017-09-29T03:45:56Z,66,66,Java,True,True,
callicoder,callicoder/java-read-write-excel-file-using-apache-poi,2017-12-22T12:03:07Z,119,119,Java,True,True,
callicoder,callicoder/java-snowflake,2018-11-17T10:29:36Z,173,173,Java,True,True,
callicoder,callicoder/javafx-examples,2017-05-02T10:20:24Z,104,104,Java,True,True,
callicoder,callicoder/jpa-hibernate-tutorials,2017-11-22T05:20:22Z,274,274,Java,True,True,
callicoder,callicoder/jsonlint,2020-11-19T17:56:11Z,1,1,,True,True,
callicoder,callicoder/kotlin-spring-boot-jpa-rest-api-demo,2017-10-05T08:44:01Z,89,89,Kotlin,True,True,
callicoder,callicoder/kotlin-tutorials,2018-01-19T16:08:39Z,5,5,Kotlin,True,True,
callicoder,callicoder/kubernetes-go-grpc,2018-12-17T17:24:55Z,4,4,Go,True,True,
callicoder,callicoder/lite-rx-api-hands-on,2017-09-08T09:41:58Z,2,2,Java,True,False,
callicoder,callicoder/material-commerce,2015-10-12T11:49:30Z,5,5,HTML,True,True,
vinitshahdeo,vinitshahdeo/10Xtober,2024-10-16T07:06:00Z,0,0,,True,False,mit
vinitshahdeo,vinitshahdeo/50DaysOfJavaScript,2023-01-07T18:03:07Z,31,31,HTML,True,True,mit
vinitshahdeo,vinitshahdeo/Agriculture,2018-03-18T11:34:37Z,0,0,PHP,True,True,mit
vinitshahdeo,vinitshahdeo/AlgoWiki,2018-11-22T01:57:28Z,0,0,CSS,True,True,mit
vinitshahdeo,vinitshahdeo/AndroidApps,2017-06-03T19:26:01Z,0,0,,True,True,mit
vinitshahdeo,vinitshahdeo/api-1,2020-06-28T13:35:49Z,1,1,,True,True,gpl-3.0
vinitshahdeo,vinitshahdeo/auto-comment,2024-02-08T14:27:45Z,0,0,,True,False,mit
vinitshahdeo,vinitshahdeo/awesome-hacktoberfest-2019,2019-10-11T11:39:38Z,1,1,,True,True,
vinitshahdeo,vinitshahdeo/awesome-projects-boilerplates,2019-03-17T20:50:53Z,1,1,,True,True,
